
Raphaël,Je bois 5 thés par jour
Raphaël,Je bois 5 thés par jour
Raphaël,Je bois 5 thés par jour
Raphaël,Je bois 5 thés par jour
Raphaël,Je bois 5 thés par jour
Raphaël,Je bois 5 thés par jour
Raphaël,Je bois 5 thés par jour
Raphaël,Je bois 5 thés par jour
Raphaël,Je bois 5 thés par jour
,
Raphaël,Je bois 5 thés par jour
Raphaël,Je bois 5 thés par jour
,
Raphaël,Je bois 5 thés par jour
,
Raphaël,Je bois 5 thés par jour
,
Raphaël,Je bois 5 thés par jour
,
,
,
,
,
,
,
tisane,agnes
,
tisane,agnès
,
Tisane,Agnès
,
Tisane,Agnès
Tisane,Agnès
Tisane,Agnès
oo,exit exit
Tisane,Agnès
J'aime la tisane,Agnès 
Tisane,Agnès
Tisane,Agnès
Hercule,Top
Tisane,Agnès
J'ai mal au talon,Achille
